,Metabolite,Pvalues,Standardized_Difference_Control_minus_Heated,Actual_Difference_Control_minus_Heated,Control,Heated,ratio,significance.names(splitnn),Pvalues,stars
123,PG(16:0/17:0).M,0.37058917,5.26E-01,6.83E+04,180315.69,112058.11,1.6091266,PG(16:0/17:0).M,0.37058917,NA
124,PG(16:0/17:1).M,0.242960892,7.04E-01,2.00E+05,409724.92,209477.89,1.9559339,PG(16:0/17:1).M,0.242960892,NA
125,PG(16:0/18:1);PG(16:1/18:0).M,0.589046434,2.71E-01,4.49E+05,1880961.15,1431986.69,1.3135326,PG(16:0/18:1);PG(16:1/18:0).M,0.589046434,NA
126,PG(16:0/19:1).M,0.747199249,1.58E-01,7.64E+04,604274.82,527853.26,1.144778,PG(16:0/19:1).M,0.747199249,NA
127,PG(16:1/16:1).M,0.206076401,7.35E-01,2.11E+05,389724.37,178647.4,2.1815283,PG(16:1/16:1).M,0.206076401,NA
128,PG(16:1/18:1).M,0.313856,5.65E-01,2.21E+05,543667.71,322686.11,1.6848191,PG(16:1/18:1).M,0.313856,NA
129,PG(16:1/19:1);PG(17:1/18:1).M,0.253983469,6.35E-01,8.95E+04,202377.52,112865.41,1.7930872,PG(16:1/19:1);PG(17:1/18:1).M,0.253983469,NA
130,PG(17:0/17:0).M,0.385020815,4.89E-01,1.49E+05,442159.94,292748.23,1.5103761,PG(17:0/17:0).M,0.385020815,NA
131,PG(17:0/17:1).M,0.392727275,4.87E-01,7.63E+04,206987.98,130725.38,1.5833802,PG(17:0/17:1).M,0.392727275,NA
132,PG(17:1/19:1).M,0.195370019,7.69E-01,1.37E+05,276240.21,139672.2,1.9777751,PG(17:1/19:1).M,0.195370019,NA
133,PG(18:0/18:1).M,0.650137087,2.12E-01,4.99E+04,292973.8,243080.94,1.2052521,PG(18:0/18:1).M,0.650137087,NA
134,PG(18:1/18:1).M,0.95870548,2.40E-02,4.24E+04,1850550.27,1808139.44,1.0234555,PG(18:1/18:1).M,0.95870548,NA
135,PG(18:1/19:1).M,0.349669558,4.87E-01,2.13E+05,586243.98,372818.94,1.572463,PG(18:1/19:1).M,0.349669558,NA
136,PG(19:1/19:1).M,0.545987562,3.10E-01,1.60E+05,636942.29,477221.05,1.3346902,PG(19:1/19:1).M,0.545987562,NA
137,PI(15:0/15:0).M,0.223927118,8.28E-01,2.58E+05,392140.35,134479.3,2.9159903,PI(15:0/15:0).M,0.223927118,NA
138,PI(16:0/17:0).M,0.624615828,2.88E-01,2.31E+04,74118.75,51067.5,1.4513878,PI(16:0/17:0).M,0.624615828,NA
139,TG(46:2).M,0.001660737,1.50E+00,3.03E+05,778455.67,475936.21,1.6356303,TG(46:2).M,0.001660737,**
140,TG(46:3).M,0.04100006,1.32E+00,2.02E+05,422311.04,220559.23,1.9147285,TG(46:3).M,0.04100006,*
141,TG(47:1).M,0.483442635,4.74E-01,8.35E+04,478552.6,395074.9,1.2112959,TG(47:1).M,0.483442635,NA
142,TG(47:2).M,0.430053359,5.14E-01,1.07E+05,741401.41,634622.28,1.1682562,TG(47:2).M,0.430053359,NA
143,TG(47:3).M,0.09558219,1.02E+00,7.24E+04,239078.05,166702.58,1.4341593,TG(47:3).M,0.09558219,NA
144,TG(48:0).M,0.595748289,3.67E-01,1.12E+05,687776.53,576264.18,1.1935091,TG(48:0).M,0.595748289,NA
145,TG(48:1).M,0.032149407,1.32E+00,1.09E+06,3034633.83,1943005.84,1.5618244,TG(48:1).M,0.032149407,*
146,TG(48:2).M,0.536197254,2.96E-01,1.11E+06,6028066.25,4917773.4,1.2257715,TG(48:2).M,0.536197254,NA
147,TG(48:3).M,0.79129251,1.25E-01,2.94E+05,4063777.83,3770169.14,1.0778768,TG(48:3).M,0.79129251,NA
148,TG(49:1).M,0.312505347,7.18E-01,2.30E+05,714028.27,484036.08,1.4751551,TG(49:1).M,0.312505347,NA
149,TG(49:2).M,0.958509878,-3.53E-02,-9.47E+03,737920.1,747390.48,0.9873287,TG(49:2).M,0.958509878,NA
150,TG(50:1).M,0.237245155,7.83E-01,4.56E+05,1342337.24,886657.31,1.5139302,TG(50:1).M,0.237245155,NA
151,TG(50:2).M,0.145329427,7.21E-01,1.46E+06,4717653.33,3254719.95,1.4494806,TG(50:2).M,0.145329427,NA
152,TG(50:3).M,0.095089554,9.11E-01,1.55E+06,4084238.88,2529410.98,1.6146996,TG(50:3).M,0.095089554,NA
153,TG(50:4).M,0.228458594,6.18E-01,3.02E+05,951709.21,649309.04,1.4657261,TG(50:4).M,0.228458594,NA
154,TG(51:1).M,0.294064862,7.05E-01,1.17E+05,456168.82,338842.59,1.3462558,TG(51:1).M,0.294064862,NA
155,TG(51:2).M,0.162994875,9.63E-01,6.73E+05,1598899.86,925715.88,1.7272037,TG(51:2).M,0.162994875,NA
156,TG(51:4).M,0.128671081,1.06E+00,3.69E+05,713133.48,344116.03,2.0723635,TG(51:4).M,0.128671081,NA
157,TG(52:1).M,0.062506255,1.15E+00,3.23E+05,937604.72,614502.38,1.5257951,TG(52:1).M,0.062506255,NA
158,TG(52:2).M,0.143644367,7.55E-01,1.83E+06,9059524.75,7229118.9,1.253199,TG(52:2).M,0.143644367,NA
159,TG(52:3).M,0.038441737,1.08E+00,2.45E+06,9168887.67,6721460.55,1.3641213,TG(52:3).M,0.038441737,*
160,TG(52:4).M,0.112463112,9.97E-01,2.30E+06,6659945.75,4363289.58,1.5263589,TG(52:4).M,0.112463112,NA
161,TG(52:5).M,0.161215725,9.83E-01,1.34E+06,2206812.75,870195.13,2.5359976,TG(52:5).M,0.161215725,NA
162,TG(53:1).M,0.232553617,7.71E-01,7.35E+04,270257.07,196740,1.3736762,TG(53:1).M,0.232553617,NA
163,TG(53:2).M,0.127371849,9.94E-01,2.60E+05,808846.66,548869.56,1.4736592,TG(53:2).M,0.127371849,NA
164,TG(53:3).M,0.147941477,9.66E-01,4.02E+05,1235098.36,832958.11,1.4827857,TG(53:3).M,0.147941477,NA
165,TG(53:4).M,0.242965826,7.49E-01,1.86E+05,810994.38,624971.4,1.2976504,TG(53:4).M,0.242965826,NA
166,TG(53:5).M,0.243970809,7.12E-01,1.04E+05,422645.21,318898.8,1.325327,TG(53:5).M,0.243970809,NA
167,TG(53:6).M,0.755359707,-1.77E-01,-1.88E+04,199665.33,218440.34,0.9140497,TG(53:6).M,0.755359707,NA
168,TG(54:1).M,0.383184828,5.48E-01,1.17E+05,482508.9,365921.96,1.3186115,TG(54:1).M,0.383184828,NA
169,TG(54:2).M,0.036513848,1.03E+00,1.07E+06,3722854.08,2656885.65,1.4012098,TG(54:2).M,0.036513848,*
170,TG(54:3).M,0.433471867,3.78E-01,1.59E+06,16450000,14857617.9,1.1071761,TG(54:3).M,0.433471867,NA
171,TG(54:4).M,0.445262975,3.36E-01,1.15E+06,13616666.67,12462403.1,1.0926197,TG(54:4).M,0.445262975,NA
172,TG(54:5).M,0.146170452,6.97E-01,2.17E+06,11513578.17,9345612.15,1.2319769,TG(54:5).M,0.146170452,NA
173,TG(54:6).M,0.061857977,1.08E+00,3.85E+06,10530177.42,6676891.17,1.5771078,TG(54:6).M,0.061857977,NA
174,TG(54:7).M,0.054135277,1.16E+00,2.78E+05,763582.52,485507.42,1.5727515,TG(54:7).M,0.054135277,NA
175,TG(55:3).M,0.163367231,8.25E-01,7.21E+04,337640.34,265558.13,1.2714367,TG(55:3).M,0.163367231,NA
176,TG(56:1).M,0.178168611,8.33E-01,2.46E+04,124507.05,99878.58,1.2465841,TG(56:1).M,0.178168611,NA
177,TG(56:2).M,0.1748948,6.42E-01,1.34E+05,566882.7,432985.98,1.3092403,TG(56:2).M,0.1748948,NA
178,TG(56:3).M,0.137354496,7.28E-01,2.40E+05,860750.7,621094.75,1.3858605,TG(56:3).M,0.137354496,NA
179,TG(56:5).M,0.878242747,8.77E-02,3.83E+04,665724.69,627438.37,1.06102,TG(56:5).M,0.878242747,NA
180,TG(56:6)_A.M,0.997060637,-1.84E-03,-1.17E+03,806817.4,807991.59,0.9985468,TG(56:6)_A.M,0.997060637,NA
181,TG(56:6)_B.M,0.02817479,1.15E+00,1.67E+05,576851.91,409448.37,1.4088514,TG(56:6)_B.M,0.02817479,*
182,TG(56:7).M,0.054827083,1.03E+00,1.29E+05,488034.44,359369.36,1.3580302,TG(56:7).M,0.054827083,NA
183,TG(56:8).M,0.626070492,3.43E-01,1.17E+05,352402.86,234908.15,1.500173,TG(56:8).M,0.626070492,NA
184,TG(58:1).M,0.063601396,1.09E+00,2.35E+04,80558.33,57049.87,1.4120687,TG(58:1).M,0.063601396,NA
185,TG(58:11).M,0.663894165,-1.86E-01,-9.52E+04,233420.12,328646.25,0.7102473,TG(58:11).M,0.663894165,NA
186,TG(58:2).M,0.173409714,6.87E-01,8.10E+04,364844.75,283821.71,1.2854716,TG(58:2).M,0.173409714,NA
187,TG(58:3).M,0.385476136,4.07E-01,4.37E+04,255677.14,211979.51,1.2061408,TG(58:3).M,0.385476136,NA
188,TG(58:9).M,0.465166049,4.41E-01,3.52E+04,277162.06,242008.5,1.1452576,TG(58:9).M,0.465166049,NA
189,TG(59:2).M,0.091031164,9.11E-01,1.99E+04,93322.89,73417.74,1.2711218,TG(59:2).M,0.091031164,NA
190,TG(59:3).M,0.010259498,1.15E+00,2.14E+04,86480.6,65115.79,1.328105,TG(59:3).M,0.010259498,*
191,TG(60:2).M,0.209008611,6.81E-01,4.89E+04,230207.57,181319.41,1.2696245,TG(60:2).M,0.209008611,NA
192,TG(60:3).M,0.244357702,6.12E-01,5.50E+04,230431.35,175442.49,1.3134296,TG(60:3).M,0.244357702,NA
193,Cer(d18:0/16:0).O,0.811565553,-1.69E-01,-5.52E+04,545944.03,601141.79,0.9081785,Cer(d18:0/16:0).O,0.811565553,NA
194,Cer(d18:1/16:0).O,0.61717535,-3.64E-01,-8.35E+04,320101.77,403570.14,0.793175,Cer(d18:1/16:0).O,0.61717535,NA
195,CoQ10.O,0.590610663,-3.64E-01,-6.43E+04,1208233.8,1272505.66,0.9494919,CoQ10.O,0.590610663,NA
196,CoQ8.O,0.109334529,9.49E-01,1.39E+05,481678.96,342240.76,1.4074272,CoQ8.O,0.109334529,NA
197,CoQ9.O,0.110249177,1.02E+00,1.42E+05,686280.31,543950.95,1.2616585,CoQ9.O,0.110249177,NA
198,DG(16:0/17:0/0:0).O,0.737744528,-2.11E-01,-1.41E+04,375636.79,389739.6,0.9638148,DG(16:0/17:0/0:0).O,0.737744528,NA
199,DG(16:0/18:1/0:0).O,0.504101962,4.20E-01,6.04E+04,625786.8,565362.81,1.1068765,DG(16:0/18:1/0:0).O,0.504101962,NA
200,DG(16:0/18:2/0:0).O,0.140526082,8.83E-01,4.50E+05,1008788.8,558933.34,1.8048463,DG(16:0/18:2/0:0).O,0.140526082,NA
201,DG(16:1/18:1/0:0)_A.O,0.140526082,8.83E-01,4.50E+05,1008788.8,558933.34,1.8048463,DG(16:1/18:1/0:0)_A.O,0.140526082,NA
202,DG(16:1/18:1/0:0)_B.O,0.281654408,6.52E-01,6.89E+04,266446.8,197518.86,1.3489689,DG(16:1/18:1/0:0)_B.O,0.281654408,NA
203,DG(17:0/0:0/17:0).O,0.203466104,7.66E-01,5.98E+04,320725.31,260955.23,1.2290434,DG(17:0/0:0/17:0).O,0.203466104,NA
204,DG(18:1/0:0/18:1).O,0.816401259,1.48E-01,9.07E+04,1427589.47,1336923.29,1.067817,DG(18:1/0:0/18:1).O,0.816401259,NA
205,DG(18:1/18:2/0:0).O,0.061206843,1.13E+00,1.99E+05,955620.03,757109.86,1.2621947,DG(18:1/18:2/0:0).O,0.061206843,NA
206,DG(18:2/0:0/18:2).O,0.241518407,7.11E-01,1.14E+06,1952105.25,812743.64,2.4018708,DG(18:2/0:0/18:2).O,0.241518407,NA
207,DGDG(14:0/18:1);DGDG(15:0/17:1).O,0.513610399,-4.07E-01,-5.95E+04,545654.24,605178.95,0.9016412,DGDG(14:0/18:1);DGDG(15:0/17:1).O,0.513610399,NA
208,DGDG(15:0/15:0).O,0.258087501,-7.62E-01,-5.82E+04,195924.21,254117.51,0.7709985,DGDG(15:0/15:0).O,0.258087501,NA
209,DGDG(15:0/16:1).O,0.114488331,9.42E-01,1.08E+05,373287.73,265623.93,1.4053242,DGDG(15:0/16:1).O,0.114488331,NA
210,DGDG(15:0/17:0).O,0.091367821,-1.09E+00,-2.22E+05,351301.22,572970.93,0.6131222,DGDG(15:0/17:0).O,0.091367821,NA
211,DGDG(15:0/18:1).O,0.762207367,-2.01E-01,-2.04E+04,244025.41,264429.63,0.9228368,DGDG(15:0/18:1).O,0.762207367,NA
212,DGDG(15:0/19:1).O,0.232207664,-8.59E-01,-8.91E+04,155919.24,244988.79,0.6364342,DGDG(15:0/19:1).O,0.232207664,NA
213,DGDG(18:1/18:1).O,0.16768996,8.28E-01,1.72E+05,492972.92,320891.76,1.5362592,DGDG(18:1/18:1).O,0.16768996,NA
214,DGDG(18:1/19:1).O,0.000971106,1.68E+00,1.82E+05,451990.64,269591.8,1.6765741,DGDG(18:1/19:1).O,0.000971106,***
215,DGDG(19:1/19:1).O,0.906294309,7.28E-02,4.21E+04,5030029.54,4987902.8,1.0084458,DGDG(19:1/19:1).O,0.906294309,NA
216,DGTSA(14:0/18:3).O,0.066196593,1.10E+00,1.31E+05,163423.59,32710.69,4.9960299,DGTSA(14:0/18:3).O,0.066196593,NA
217,DGTSA(15:0/17:0).O,0.116562698,-1.03E+00,-1.36E+05,316912.09,452542.97,0.7002917,DGTSA(15:0/17:0).O,0.116562698,NA
218,DGTSA(16:0/16:1)_A.O,0.508757038,-4.26E-01,-6.96E+04,723395.31,793043.14,0.9121765,DGTSA(16:0/16:1)_A.O,0.508757038,NA
219,DGTSA(16:0/16:1)_B.O,0.057599874,1.11E+00,3.12E+06,10362839.5,7247674,1.4298159,DGTSA(16:0/16:1)_B.O,0.057599874,NA
220,DGTSA(16:0/16:2).O,0.378523429,6.14E-01,3.69E+04,168644.37,131774.45,1.2797957,DGTSA(16:0/16:2).O,0.378523429,NA
221,DGTSA(16:0/18:1).O,0.592982503,3.49E-01,7.39E+05,5354353.88,4615590,1.1600584,DGTSA(16:0/18:1).O,0.592982503,NA
222,DGTSA(16:0/18:2).O,0.330578414,5.98E-01,2.90E+06,9625310.54,6726928.12,1.4308627,DGTSA(16:0/18:2).O,0.330578414,NA
223,DGTSA(16:0/18:3)_A.O,0.565907983,4.02E-01,1.95E+05,765330.98,570441.33,1.3416471,DGTSA(16:0/18:3)_A.O,0.565907983,NA
224,DGTSA(16:0/18:3)_B.O,0.171621297,8.26E-01,2.25E+05,303827.9,78477.26,3.8715407,DGTSA(16:0/18:3)_B.O,0.171621297,NA
225,DGTSA(16:0/18:4).O,0.025365876,1.28E+00,1.23E+05,230979.72,107866.68,2.1413446,DGTSA(16:0/18:4).O,0.025365876,*
226,DGTSA(16:0/19:1);DGTSA(16:1/19:0).O,0.155304733,8.61E-01,1.08E+05,467091.02,359009.47,1.3010549,DGTSA(16:0/19:1);DGTSA(16:1/19:0).O,0.155304733,NA
227,DGTSA(16:1/16:1).O,0.040504435,1.17E+00,1.53E+06,3296060.21,1766559.11,1.865808,DGTSA(16:1/16:1).O,0.040504435,*
228,DGTSA(16:1/18:1)_A.O,0.173529339,9.40E-01,7.50E+05,2831969.92,2082014.45,1.3602067,DGTSA(16:1/18:1)_A.O,0.173529339,NA
229,DGTSA(16:1/18:1)_B.O,0.41059578,5.18E-01,1.07E+05,688706.41,582165.84,1.1830073,DGTSA(16:1/18:1)_B.O,0.41059578,NA
230,DGTSA(16:1/18:2).O,0.053163716,1.13E+00,3.86E+05,601401.55,215693.91,2.7882175,DGTSA(16:1/18:2).O,0.053163716,NA
231,DGTSA(17:0/17:0).O,0.496762657,-4.36E-01,-1.33E+05,1138789.36,1271303.6,0.8957651,DGTSA(17:0/17:0).O,0.496762657,NA
232,DGTSA(17:0/19:0).O,0.057241976,-1.20E+00,-2.13E+05,422784.64,635360.06,0.6654253,DGTSA(17:0/19:0).O,0.057241976,NA
233,DGTSA(18:0/18:1).O,0.236456573,7.47E-01,1.73E+05,809741.97,636807.3,1.2715651,DGTSA(18:0/18:1).O,0.236456573,NA
234,DGTSA(18:0/18:2);DGTSA(18:1/18:1).O,0.21014307,7.57E-01,8.21E+05,2006764.38,1185781.45,1.692356,DGTSA(18:0/18:2);DGTSA(18:1/18:1).O,0.21014307,NA
235,DGTSA(18:1/18:1).O,0.514864859,4.24E-01,6.67E+05,5919137.83,5252154.7,1.1269923,DGTSA(18:1/18:1).O,0.514864859,NA
236,DGTSA(18:1/18:2).O,0.051625553,1.13E+00,9.53E+05,1850125.26,896642.53,2.0633923,DGTSA(18:1/18:2).O,0.051625553,NA
237,DGTSA(35:0).O,0.085764559,-1.07E+00,-2.57E+05,631305.75,888270.51,0.7107134,DGTSA(35:0).O,0.085764559,NA
238,HexCer(d18:2/16:1)_A.O,0.002696171,1.53E+00,5.07E+05,989989.86,482982.41,2.0497431,HexCer(d18:2/16:1)_A.O,0.002696171,**
239,HexCer(d18:2/16:1)_B.O,0.003124304,1.57E+00,4.04E+05,782918.27,378678.02,2.0675039,HexCer(d18:2/16:1)_B.O,0.003124304,**
240,HexCer(d18:2/18:1).O,0.51672832,3.98E-01,1.06E+05,341106.36,234968.91,1.4517085,HexCer(d18:2/18:1).O,0.51672832,NA
241,HexCer(d34:3).O,0.178607214,8.17E-01,1.16E+05,389215.64,273196.92,1.4246706,HexCer(d34:3).O,0.178607214,NA
242,PC(0:0/18:1).O,0.472240917,4.92E-01,6.38E+04,231012.52,167174.44,1.3818651,PC(0:0/18:1).O,0.472240917,NA
243,PC(15:0/16:1).O,0.143379007,9.29E-01,1.93E+05,588324.8,395105.39,1.4890326,PC(15:0/16:1).O,0.143379007,NA
244,PC(16:0/18:2).O,0.038191145,1.22E+00,1.61E+06,4001017.04,2395052.25,1.6705343,PC(16:0/18:2).O,0.038191145,*
245,PC(16:1/16:1).O,0.202134808,8.28E-01,1.41E+05,566551.93,425479.43,1.3315613,PC(16:1/16:1).O,0.202134808,NA
246,PC(16:1/18:1).O,0.092038126,1.08E+00,9.63E+05,3097916.58,2134698.75,1.4512196,PC(16:1/18:1).O,0.092038126,NA
247,PC(17:1/19:1).O,0.954608856,4.02E-02,7.13E+04,7917432.08,7846116.2,1.0090893,PC(17:1/19:1).O,0.954608856,NA
248,PC(18:1/18:1)_A.O,0.432845215,5.28E-01,5.03E+04,409640.99,359387.23,1.1398318,PC(18:1/18:1)_A.O,0.432845215,NA
249,PC(18:1/18:1)_B.O,0.701054677,2.53E-01,2.89E+04,373686.84,344763.73,1.0838925,PC(18:1/18:1)_B.O,0.701054677,NA
250,PC(18:1/18:2)_A.O,0.027230055,1.29E+00,1.33E+06,4227203.71,2894493.7,1.4604294,PC(18:1/18:2)_A.O,0.027230055,*
251,PC(18:1/18:2)_B.O,0.011134712,-1.52E+00,-1.11E+06,1153360.04,2259644.1,0.5104167,PC(18:1/18:2)_B.O,0.011134712,*
252,PC(18:1/19:1).O,0.648072907,-3.29E-01,-5.20E+05,4501530.29,5021241.45,0.8964975,PC(18:1/19:1).O,0.648072907,NA
253,PC(18:1/20:4).O,0.107294595,1.01E+00,2.20E+05,707240.19,487231.58,1.4515483,PC(18:1/20:4).O,0.107294595,NA
